State_Name,District_Name,Crop_Year,Season,Crop Type,Area,Production
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Arhar/Tur,37562,4845
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Bajra,1752,1028
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Brinjal,320,7596
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cabbage,10,123
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cashewnut,19,7
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Castor seed,10320,5903
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Coriander,162,84
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cotton(lint),73734,103779
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cowpea(Lobia),982,410
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Dry chillies,2799,11848
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Grapes,309,6886
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Groundnut,550794,148714
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Horse-gram,3692,1658
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Jowar,13189,4234
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Lemon,416,3618
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Maize,16839,42687
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Mango,11278,70939
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Mesta,15,106
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Moong(Green Gram),2428,2994
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Onion,1969,35214
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Other Kharif pulses,25,2
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,other oilseeds,31,49
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Papaya,374,29443
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Pome Granet,1572,16416
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Potato,15,281
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Ragi,1136,1713
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Rice,22658,68155
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Sapota,2151,19520
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Small millets,691,606
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Soyabean,44,50
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Sugarcane,30,2456
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Sunflower,5066,1180
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Tobacco,15,43
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Tomato,3976,113236
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Turmeric,19,223
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Urad,188,249
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Bajra,47,28
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Brinjal,468,11108
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Cabbage,2,25
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Castor seed,229,131
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Coriander,8223,4251
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Cotton(lint),884,1244
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Cowpea(Lobia),234,263
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Dry chillies,124,387
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Gram,68092,38676
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Groundnut,14957,24679
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Horse-gram,8079,3700
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Jowar,5263,1368
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Maize,4474,31618
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Moong(Green Gram),586,481
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Onion,297,6767
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Other  Rabi pulses,2,2
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Potato,77,1442
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Ragi,734,1122
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Rice,6553,14377
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Safflower,310,87
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Small millets,47,41
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Sunflower,3386,1642
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Sweet potato,4,44
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Tobacco,341,635
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Tomato,4191,87055
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Urad,42,61
Andhra Pradesh,ANANTAPUR,2014,Whole Year ,Coconut ,687,5756000
Andhra Pradesh,ANANTAPUR,2014,Whole Year ,Rice,29211,82532
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Arhar/Tur,6840,1669
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Bajra,2071,4622
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Brinjal,924,21932
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Cabbage,120,3491
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Cashewnut,86,30
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Castor seed,137,78
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Coriander,2,1
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Cotton(lint),308,723
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Cowpea(Lobia),948,289
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Grapes,32,932
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Groundnut,122578,72811
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Horse-gram,5071,2277
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Jowar,23,16
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Lemon,55,478
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Maize,2693,8820
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Mango,64633,462384
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Moong(Green Gram),469,578
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Onion,242,4443
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Other Kharif pulses,1642,501
Andhra Pradesh,CHITTOOR,2014,Kharif     ,other oilseeds,27,55
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Papaya,519,13790
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Pome Granet,160,1531
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Potato,302,5186
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Ragi,4556,3686
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Rice,13304,44462
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Sapota,209,1748
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Sesamum,101,28
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Small millets,245,97
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Sugarcane,26147,2066986
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Sunflower,58,29
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Tomato,8139,192268
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Turmeric,17,199
